2026-2-22,22:51:15,13.82,49.94,946.34
2026-2-22,23:1:18,13.80,50.05,946.35
2026-2-22,23:11:21,13.74,50.16,946.41
2026-2-22,23:21:24,13.62,50.32,946.32
2026-2-22,23:31:26,13.53,50.57,946.25
2026-2-22,23:41:29,13.44,50.80,946.25
2026-2-22,23:51:32,13.35,51.03,946.27
2026-2-23,0:1:34,13.23,51.30,946.22
2026-2-23,0:11:37,13.14,51.48,946.17
2026-2-23,0:21:40,13.07,51.70,946.26
2026-2-23,0:31:42,12.97,51.77,946.13
2026-2-23,0:41:44,12.86,52.00,946.18
2026-2-23,0:51:47,12.75,52.08,946.04
2026-2-23,1:1:50,12.69,52.11,945.94
2026-2-23,1:11:53,12.51,52.27,945.81
2026-2-23,1:21:54,12.44,52.32,945.77
2026-2-23,1:31:57,12.35,52.33,945.77
2026-2-23,1:42:0,12.27,52.38,945.74
2026-2-23,1:52:3,12.17,52.30,945.65
2026-2-23,2:2:6,12.09,52.24,945.57
2026-2-23,2:12:8,11.94,52.33,945.53
2026-2-23,2:22:11,11.87,52.33,945.51
2026-2-23,2:32:14,11.77,52.33,945.40
2026-2-23,2:42:17,11.67,52.25,945.35
2026-2-23,2:52:20,11.59,52.04,945.35
2026-2-23,3:2:23,11.50,51.88,945.30
2026-2-23,3:12:25,11.40,51.63,945.20
2026-2-23,3:22:29,11.28,51.59,945.07
2026-2-23,3:32:32,11.20,51.43,944.98
2026-2-23,3:42:34,11.05,51.41,944.87
2026-2-23,3:52:37,10.99,51.32,944.81
2026-2-23,4:2:40,10.90,51.23,944.81
2026-2-23,4:12:43,10.85,51.03,944.70
2026-2-23,4:22:46,10.80,50.77,944.65
2026-2-23,4:32:48,10.74,50.50,944.56
2026-2-23,4:42:50,10.67,50.28,944.51
2026-2-23,4:52:53,10.61,50.18,944.56
2026-2-23,5:2:55,10.55,50.06,944.43
2026-2-23,5:12:58,10.46,50.02,944.46
2026-2-23,5:23:1,10.37,49.98,944.49
2026-2-23,5:33:4,10.24,50.01,944.48
2026-2-23,5:43:7,10.11,50.09,944.51
2026-2-23,5:53:10,10.00,50.08,944.51
2026-2-23,6:3:12,9.92,50.11,944.48
2026-2-23,6:13:15,9.81,50.24,944.44
2026-2-23,6:23:18,9.76,50.22,944.39
2026-2-23,6:33:20,9.70,50.06,944.50
2026-2-23,6:43:23,9.65,50.03,944.42
2026-2-23,6:53:25,9.60,49.89,944.49
2026-2-23,7:3:28,9.54,49.89,944.42
2026-2-23,7:13:31,9.48,49.87,944.51
2026-2-23,7:23:34,9.43,49.90,944.53
2026-2-23,7:33:36,9.37,49.97,944.57
2026-2-23,7:43:39,9.30,49.87,944.50
2026-2-23,7:53:42,9.23,49.87,944.58
2026-2-23,8:3:46,9.15,49.82,944.61
2026-2-23,8:13:48,9.09,49.80,944.64
2026-2-23,8:23:50,9.07,49.93,944.76
2026-2-23,8:33:52,9.10,49.83,944.83
2026-2-23,8:43:56,9.15,49.63,944.94
2026-2-23,8:53:59,9.21,49.58,944.96
2026-2-23,9:4:2,9.27,49.35,945.03
2026-2-23,9:14:4,9.36,49.17,945.08
2026-2-23,9:24:7,9.43,49.14,945.12
2026-2-23,9:34:9,9.51,49.04,945.10
2026-2-23,9:44:12,9.61,48.90,945.10
2026-2-23,9:54:15,9.71,48.89,945.10
2026-2-23,10:4:18,9.83,48.85,945.17
2026-2-23,10:14:21,9.89,48.78,945.20
2026-2-23,10:24:24,9.99,48.78,945.29
2026-2-23,10:34:26,10.12,48.76,945.26
2026-2-23,10:44:29,10.25,48.78,945.27
2026-2-23,10:54:31,10.37,48.74,945.18
2026-2-23,11:4:34,10.53,48.70,945.17
2026-2-23,11:14:37,10.70,48.65,945.23
2026-2-23,11:24:41,10.92,48.53,945.24
2026-2-23,11:34:44,11.36,48.12,945.21
2026-2-23,11:44:46,12.31,47.23,945.15
2026-2-23,11:54:49,13.51,45.88,945.17
2026-2-23,12:4:53,14.68,44.72,945.06
2026-2-23,12:14:57,15.65,43.83,945.04
2026-2-23,12:25:0,16.41,43.28,945.04
2026-2-23,12:35:3,16.94,43.00,944.88
2026-2-23,12:45:7,17.35,42.95,944.82
2026-2-23,12:55:9,17.74,42.80,944.68
2026-2-23,13:5:12,18.02,42.60,944.50
2026-2-23,13:15:15,18.21,42.57,944.37
2026-2-23,13:25:18,18.40,42.45,944.22
2026-2-23,13:35:21,18.69,42.18,943.98
2026-2-23,13:45:23,18.96,41.79,943.88
2026-2-23,13:55:27,19.24,41.36,943.72
2026-2-23,14:5:30,19.52,40.88,943.59
2026-2-23,14:15:32,19.47,40.89,943.48
2026-2-23,14:25:36,19.42,40.78,943.35
2026-2-23,14:35:38,19.52,40.32,943.20
2026-2-23,14:45:41,19.64,39.96,943.05
2026-2-23,14:55:44,19.69,39.59,942.93
2026-2-23,15:5:46,19.69,39.21,942.81
2026-2-23,15:15:49,19.60,38.92,942.68
2026-2-23,15:25:52,19.52,38.75,942.63
2026-2-23,15:35:55,19.49,38.34,942.48
2026-2-23,15:45:57,19.42,38.29,942.38
2026-2-23,15:56:1,19.43,38.49,942.37
2026-2-23,16:6:3,19.09,39.63,942.29
2026-2-23,16:16:5,18.81,40.57,942.13
2026-2-23,16:26:8,18.71,40.88,942.10
2026-2-23,16:36:11,18.62,40.87,942.00
2026-2-23,16:46:14,18.56,40.53,941.92
2026-2-23,16:56:17,18.55,40.15,941.92
2026-2-23,17:6:20,18.53,39.68,941.95
2026-2-23,17:16:23,18.52,39.22,941.88
2026-2-23,17:26:26,18.53,38.73,941.83
2026-2-23,17:36:29,18.54,38.44,941.78
2026-2-23,17:46:32,18.52,38.38,941.68
2026-2-23,17:56:35,18.50,38.33,941.66
2026-2-23,18:6:37,18.50,38.32,941.79
2026-2-23,18:16:40,18.41,38.43,941.77
2026-2-23,18:26:43,18.33,38.65,941.77
2026-2-23,18:36:45,18.26,38.82,941.81
2026-2-23,18:46:48,18.13,39.16,941.84
2026-2-23,18:56:51,17.96,39.45,941.89
2026-2-23,19:6:53,17.81,39.66,941.90
2026-2-23,19:16:56,17.65,40.02,941.95
2026-2-23,19:26:59,17.44,40.24,941.98
2026-2-23,19:37:1,17.24,40.44,942.01
2026-2-23,19:47:3,17.08,40.80,941.98
2026-2-23,19:57:6,16.95,41.08,941.98
2026-2-23,20:7:8,16.81,41.23,942.00
2026-2-23,20:17:11,16.66,41.45,941.87
2026-2-23,20:27:14,16.49,41.74,941.87
2026-2-23,20:37:16,16.36,41.96,941.79
2026-2-23,20:47:18,16.25,42.20,941.77
2026-2-23,20:57:21,16.17,42.36,941.74
2026-2-23,21:7:23,16.08,42.58,941.77
2026-2-23,21:17:26,15.99,42.81,941.83
2026-2-23,21:27:29,15.89,43.03,941.84
